epoch,train_loss,val_mean_dice
1,1.178697,0.497266
2,0.966853,0.512520
3,0.840498,0.497801
4,0.778061,0.495862
5,0.723662,0.505168
6,0.734608,0.490460
7,0.714020,0.495984
8,0.701632,0.538606
9,0.679306,0.485429
10,0.678196,0.485926
11,0.689624,0.519951
12,0.703393,0.489391
13,0.692408,0.483383
14,0.695116,0.507068
15,0.658095,0.507900
16,0.683139,0.493844
17,0.701470,0.497138
18,0.669604,0.489056
19,0.679629,0.543669
20,0.671967,0.497269
21,0.651492,0.488529
22,0.684753,0.502255
23,0.660792,0.521872
24,0.677968,0.493707
25,0.646056,0.539977
26,0.660332,0.491729
27,0.677697,0.486315
28,0.619556,0.489235
29,0.636760,0.492267
30,0.665174,0.500275
