epoch,train_loss,val_loss,val_mean_dice,val_foreground_dice,val_dice_background,val_dice_tumor,lr
1,1.804618,1.809580,0.337177,0.069214,0.635595,0.069214,0.00010000
2,1.647916,1.748115,0.419185,0.099598,0.794547,0.099598,0.00010000
3,1.533839,1.691924,0.441040,0.094757,0.823331,0.094757,0.00010000
4,1.439287,1.640130,0.447292,0.079321,0.851750,0.079321,0.00010000
5,1.423300,1.574749,0.443360,0.087528,0.844706,0.087528,0.00010000
6,1.352130,1.554864,0.462256,0.100227,0.870391,0.100227,0.00010000
7,1.311753,1.505091,0.460095,0.132966,0.872322,0.132966,0.00010000
8,1.285457,1.499902,0.480972,0.128612,0.879632,0.128612,0.00010000
9,1.219036,1.524750,0.464430,0.096741,0.876620,0.096741,0.00010000
10,1.177963,1.463031,0.468883,0.086387,0.891118,0.086387,0.00010000
11,1.142838,1.361557,0.509454,0.173092,0.911592,0.173092,0.00010000
12,1.105199,1.361706,0.506310,0.171182,0.909911,0.171182,0.00010000
13,1.078035,1.378207,0.492081,0.149404,0.912448,0.149404,0.00010000
14,1.043892,1.330910,0.506870,0.183269,0.925771,0.183269,0.00010000
15,1.088492,1.258465,0.523854,0.168543,0.956696,0.168543,0.00010000
16,1.053251,1.226082,0.534858,0.226059,0.956686,0.226059,0.00010000
17,0.995685,1.326605,0.534173,0.199941,0.940384,0.199941,0.00010000
18,0.986123,1.313637,0.520848,0.167267,0.931300,0.167267,0.00010000
19,0.928755,1.223967,0.551110,0.281574,0.944538,0.281574,0.00010000
20,0.965269,1.260744,0.525334,0.190001,0.951868,0.190001,0.00010000
